voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
568,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,government,permanent,3,2,monetary allowances,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,None,NA,NA,NA,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,None,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,Still Librarianship but not in the same agency,Bachelor's degree (BLIS),No.,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.","Fees, Accessibility, Conflict of Schedule",NA,NA,"Knowledge Management, Data analytics, Records Management",NA,NA,NA,NA,NCR,No,Yes,Others,None,Special Public Library,"Researcher, Organizer",Science Research Specialist I,Foreign Titles and General Reference Librarian,PLAI,"Responsibility, Service to the Profession"
569,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,24,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (in-house),permanent,20,18,paid vacation and/or sick leaves,NA,NA,NA,NA,"Food stub, Bonus (Mid-year, 13th month & Christmas), Educational scholarship (for me and my family/ relatives), Loans",NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,Medical journals,NA,NA,NA,entry level / junior staff,Maybe / Undecided,Business or fashion,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),Maybe,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Lack of financial support and lack of time,NA,NA,"Information Literacy, Archives & Records Management, Philippine Librarianship (theory & practice)",NA,NA,NA,NA,NCR,Yes,Yes,Ilocano,None,Academic Library,"Researcher, Encoder",Junior Staff,Readers' Services,"PLAI, PAARL",Connections with other librarians
570,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,52,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,private (in-house),permanent,16,15,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),No.,NA,Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region VI,No,No,Ilonggo,NA,academic library,college instructor,Learning Resource Center Officer,Administration,PLAI,NA
571,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",LGBTQ+,28,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,private (in-house),permanent,25,19,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,"clothing allowance
laundry allowance 
economic package/grocery allowance 
paid sick leaves not used 
14th month pay 
13th month pay
anniversary pay",NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,.,Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",seminars with CPD points are no longer funded by our university.,NA,NA,"library fashion :re-fashioning library management to be of better service to the z millenials 
library management
issues on Philippine Librarians and libraries",NA,NA,NA,NA,CAR,Yes,Yes,Ilocano,.,School Library,Teacher/ artist/ technical assistant,sole librarian,"administration, management, cataloguing, collection development, reference, records officer, manager","PLAI, PASLI","active role of the org in the society
seminars given"
572,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,20,20,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Maybe,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",institution policy,NA,NA,preservation of books techniques hands on training,NA,NA,NA,NA,Region III,No,Yes,Ilocano,NA,Public Library/ Academic,NA,Librarian I,"GS, COED, CCJE, Filipiniana Librarian",PLAI,Ethical obligation
573,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (in-house),permanent,17,17,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Kapampangan,NA,NA,NA,NA,NA,NA,NA
574,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,41,"Yes, I am currently employed by an institution, agency, individual or similar.",library,17,government,permanent,29,17,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",archives (physical),hardcopy theses and dissertations,hardcopy books / pamphlets / etc,law materials and resources,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),No.,NA,Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region VI,Yes,Yes,Cebuano,Ilonggo,Public Library,NA,City Librarian,Librarian II,PLAI,NA
575,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,8,government,permanent,1,17,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,high school books,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",no budget allocation for trainings and seminars for librarian,NA,NA,"Cataloging,  management,  collection development and on technology",NA,NA,NA,NA,Region III,Yes,Yes,Ilocano,NA,High school library,clerical works,sole librarian,"Administration / Management, Cataloging / Bibliographic Control, Collection Development, Reference, Records Officer / Manager",none,linkages
576,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,48,"Yes, I am currently employed by an institution, agency, individual or similar.",library,21,government,permanent,21,10,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),No,NA,within the work place (in-house trainings),NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region XII,No,Yes,Cebuano,NA,State University,University instructor,Multi-media librarian,NA,PLAI,NA
577,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,21,"No, I am currently not working for reasons other than retirement.",NA,1,NA,NA,NA,NA,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,Maybe,Expensive CPD accredited trainings; expensive CPD self-learning application; Assurance of CPD self-learning to be accredited by the CPD Council,NA,NA,"Information and Communication Technology; Technical competency upgrade of LIS professionals in line with the new BLIS Curriculum; Knowledge Management, etc.",NA,NA,NA,NA,NCR,NA,Yes,NA,NA,NA,NA,NA,NA,PLAI,"Identity and career progression, opportunities, certifications, etc. ; Perks and other benefits that the organization can offer."
578,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,30,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,private (in-house),permanent,NA,NA,monetary allowances,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),NA,NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,NA,School Library,"Subject Teacher, Competition Trainer",Head Librarian working with other librarians,"Administration / Management, Cataloging / Bibliographic Control, Collection Development, Reference, Records Officer / Manager",PLAI,Connections
579,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,35,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,government,permanent,31,13,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,monetary allowances,NA,NA,"Clothing, performance,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,regular / senior staff (non-supervisory),Yes,Not applicable,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (non-MLIS),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,44,"Yes, I am currently employed by an institution, agency, individual or similar.",library,16,government,permanent,29,NA,paid vacation and/or sick leaves,NA,NA,NA,NA,Ava/pera,NA,NA,NA,hardcopy theses and dissertations,institutional files and records,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,None,NA,NA,NA,regular / senior staff (non-supervisory),Yes,I answered yes,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),No,Master's degree (MLIS),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,from the work place (private sponsorship),"from the government (scholarships, free trainings and seminars, etc)",NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Don't have enough budget for trainings,NA,NA,Library management,NA,NA,NA,NA,Region VI,Yes,Yes,Ilonggo,"Tagalog, ilonggo",Academic library,"Liaison officer designate, hrmp designate",Sole librarian,All,PLAI,Gain more skills
581,"No, I have not renewed my license","Yes, I am currently residing and staying in the Philippines",Woman,37,"Yes, I am currently employed by an institution, agency, individual or similar.",library,17,private (in-house),permanent,20,13,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,Uniform allowance,NA,NA,NA,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings received within the last two (2) years is too much.",NA,NA,NA,Records management and archived hands on trainings,NA,NA,NA,NA,Region IV,No,Yes,NA,NA,Academic,NA,Librarian,Cataloger,"PLAI
FORATL",NA
